3618000,-3.063300,-59.647800,2854286.000
3618001,-3.196100,-59.833600,2583079.000
3618051,-0.481700,-64.827200,279945.000
3618052,-0.200600,-66.802200,194462.000
3618053,0.371700,-67.312800,110862.000
3618090,1.215300,-66.852500,61781.000
3618110,1.074400,-67.594700,22282.000
3618120,0.209400,-69.378100,4198.000
3618121,0.249400,-69.785000,1617.000
3618130,-0.246100,-67.009200,10228.000
3618150,0.884200,-62.621900,14756.000
3618200,0.517800,-60.466100,8639.000
3618500,1.821400,-61.123600,124980.000
3618600,-0.858600,-60.520000,6589.000
3618700,5.030000,-60.500000,3340.000
3618710,4.630600,-60.470600,3075.000
3618711,4.167500,-60.528100,5815.000
3618715,4.196100,-60.793900,2428.000
3618720,3.207800,-60.571100,50985.000
3618721,3.438100,-61.036700,37430.000
3618722,3.549700,-63.169200,16065.000
3618730,2.870800,-61.440600,13658.000
3618731,2.731700,-62.017200,9300.000
3618950,0.476900,-69.128100,40506.000
3618951,0.130300,-68.538600,44732.000
3620000,-3.101700,-67.935600,1134540.000
3621000,-3.310600,-60.609400,2147736.000
3621400,-1.394700,-69.428300,197136.000
3622400,-4.340800,-70.905600,62105.000
3622401,-5.138900,-72.813600,16256.000
3622450,-4.579400,-71.413100,24351.000
3623100,-3.450000,-68.750000,990781.000
3624100,-7.446700,-73.664400,1136.630
3624120,-4.839200,-66.850600,162000.000
3624121,-6.440300,-68.246100,142234.000
3624122,-6.684400,-69.881100,77136.000
3624123,-7.055600,-71.689200,55806.000
3624160,-7.633100,-72.661700,38537.000
3624180,-8.934400,-72.789200,16581.000
3624190,-9.409700,-72.715800,10446.000
3624200,-4.221100,-67.892500,35880.000
3624201,-5.383100,-68.998300,10257.000
3624300,-7.428100,-70.022500,48317.000
3624301,-8.145800,-70.715300,16050.000
3624310,-8.163600,-70.356400,16400.000
3624320,-7.951100,-71.482200,2041.000
3624400,-4.292200,-65.201700,13708.000
3624500,-5.109200,-63.984700,8078.000
3625100,-10.999700,-68.761700,6712.000
3625110,-10.943600,-69.565600,4241.000
3625140,-10.651400,-68.506100,7579.410
3625150,-9.975000,-67.800800,22670.000
3625160,-9.066700,-67.396900,33469.000
3625200,-7.550000,-67.550000,23365.000
3625220,-6.319200,-64.886100,38270.000
3625310,-4.728600,-62.145300,359853.000
3625320,-6.537500,-64.383900,230012.000
3625340,-7.258100,-64.797500,226351.000
3625350,-7.715600,-66.999700,153016.000
3625360,-8.653300,-67.375000,103285.000
3625370,-9.043900,-68.577200,63166.000
3625380,-8.884200,-69.268100,33693.000
3625400,-9.374400,-68.723900,10471.000
3625450,-9.110300,-68.993300,6025.000
3627030,-5.816700,-61.301900,1150000.000
3627035,-7.502800,-63.018300,1090000.000
3627101,-7.957800,-62.042500,3550.000
3627551,-7.592800,-60.709400,59400.000
3627650,-7.207800,-60.650000,131000.000
3627651,-7.706700,-60.586700,70100.000
3627660,-7.739400,-60.576100,16300.000
3627700,-6.750000,-58.930000,14597.000
